,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,month 1,accommodates,bathrooms,bedrooms,bed_type,review_scores_rating,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed,Hot_water,no_of_amenities
0,4.0,18.0,0.0,60,4,118,506.0,3.76,4,141,258.0,3,1.0,1.0,4.0,93.0,1.0,1.0,1.0,0.0,0.0,1.0,29
1,6.0,95.0,1.0,17,2,6,533.0,1.42,1,0,221.0,2,1.0,1.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,10
2,6.0,98.0,0.0,90,62,143,1093.0,1.25,1,220,195.0,4,1.0,1.0,4.0,92.0,1.0,0.0,1.0,0.0,0.0,0.0,19
3,10.0,110.0,1.0,26,5,25,579.0,0.39,1,297,237.0,2,1.0,1.0,3.0,88.0,1.0,0.0,0.0,1.0,0.0,1.0,29
4,6.0,49.0,1.0,42,2,197,499.0,1.75,1,26,261.0,2,1.0,1.0,4.0,96.0,1.0,0.0,1.0,0.0,0.0,1.0,13
5,6.0,98.0,0.0,180,6,6,603.0,0.15,1,137,201.0,7,2.5,4.0,4.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,37
6,6.0,95.0,0.0,70,90,23,502.0,0.23,3,129,207.0,2,1.0,0.0,4.0,93.0,0.0,1.0,0.0,1.0,0.0,1.0,13
7,1.0,32.0,1.0,120,30,0,0.0,0.0,1,365,238.0,2,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9
8,1.0,134.0,0.0,90,60,48,824.0,0.47,2,159,210.0,5,1.0,1.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,0.0,20
9,6.0,98.0,1.0,45,3,279,503.0,2.83,1,42,225.0,2,1.0,1.0,4.0,96.0,1.0,1.0,0.0,1.0,0.0,1.0,21
10,5.0,101.0,0.0,49,5,223,504.0,2.1,1,232,260.0,2,1.0,0.0,4.0,96.0,1.0,1.0,0.0,0.0,0.0,1.0,16
11,6.0,98.0,0.0,129,3,56,514.0,0.75,1,166,245.0,4,1.0,2.0,4.0,87.0,0.0,1.0,1.0,0.0,0.0,1.0,17
12,1.0,134.0,0.0,70,60,60,1381.0,0.61,2,129,244.0,4,1.0,1.0,4.0,95.0,1.0,1.0,1.0,0.0,0.0,0.0,19
13,1.0,135.0,0.0,98,3,61,533.0,0.59,2,257,229.0,4,1.0,2.0,4.0,94.0,1.0,1.0,1.0,1.0,0.0,1.0,17
14,4.0,18.0,0.0,160,3,223,498.0,2.27,1,228,227.0,5,1.0,1.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,1.0,33
15,1.0,118.0,0.0,65,60,96,626.0,0.94,1,275,235.0,4,1.0,1.0,4.0,87.0,1.0,1.0,1.0,1.0,0.0,1.0,38
16,6.0,98.0,0.0,90,3,18,570.0,0.18,2,3,229.0,4,2.5,2.0,4.0,94.0,0.0,1.0,0.0,0.0,1.0,1.0,18
17,6.0,97.0,0.0,90,4,5,1311.0,0.05,2,15,236.0,4,2.5,2.0,4.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,16
18,6.0,49.0,0.0,197,3,163,498.0,1.63,1,336,241.0,8,2.0,2.0,4.0,91.0,1.0,1.0,1.0,1.0,0.0,1.0,50
19,6.0,95.0,0.0,70,90,28,1053.0,0.29,3,191,240.0,2,1.0,0.0,4.0,92.0,0.0,1.0,0.0,1.0,0.0,1.0,13
20,1.0,32.0,0.0,90,5,30,958.0,0.33,1,55,177.0,6,1.0,2.0,4.0,91.0,0.0,1.0,1.0,0.0,0.0,0.0,13
21,5.0,101.0,0.0,60,2,1,2408.0,0.02,10,341,230.0,3,0.0,1.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22,6.0,49.0,0.0,130,60,69,595.0,0.7,3,221,246.0,4,1.0,2.0,4.0,96.0,0.0,1.0,1.0,1.0,0.0,1.0,24
23,6.0,49.0,0.0,100,4,240,503.0,2.42,4,296,240.0,8,1.0,2.0,4.0,95.0,1.0,1.0,1.0,0.0,0.0,1.0,28
24,6.0,49.0,1.0,44,1,28,506.0,4.94,1,361,214.0,1,1.0,1.0,4.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,10
25,4.0,73.0,0.0,62,3,144,499.0,1.44,1,343,231.0,4,1.0,1.0,4.0,89.0,1.0,0.0,1.0,0.0,0.0,1.0,33
26,6.0,94.0,0.0,55,60,1,3470.0,0.01,1,89,257.0,2,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15
27,0.0,89.0,1.0,40,1,33,515.0,1.63,2,297,282.0,1,0.0,1.0,4.0,88.0,1.0,0.0,0.0,1.0,0.0,1.0,14
28,10.0,110.0,1.0,25,5,21,539.0,0.21,1,329,224.0,1,1.0,1.0,4.0,91.0,1.0,1.0,1.0,1.0,1.0,1.0,36
29,4.0,18.0,0.0,52,2,307,530.0,3.04,2,25,226.0,2,1.0,1.0,4.0,95.0,1.0,0.0,1.0,0.0,0.0,1.0,23
30,1.0,135.0,1.0,39,1,161,504.0,1.59,2,120,181.0,3,1.5,1.0,4.0,90.0,0.0,1.0,1.0,1.0,1.0,1.0,17
31,6.0,97.0,0.0,80,84,102,605.0,1.03,10,221,223.0,2,1.0,1.0,4.0,89.0,1.0,0.0,0.0,1.0,0.0,0.0,23
32,5.0,105.0,0.0,80,10,6,2790.0,0.06,1,310,214.0,2,1.0,1.0,4.0,87.0,0.0,1.0,1.0,0.0,1.0,0.0,12
33,1.0,118.0,1.0,50,3,50,1268.0,0.62,2,0,259.0,2,1.0,1.0,4.0,97.0,0.0,0.0,1.0,0.0,0.0,0.0,6
34,6.0,98.0,1.0,43,2,70,891.0,0.7,1,0,283.0,2,1.0,1.0,4.0,94.0,0.0,0.0,0.0,1.0,1.0,1.0,11
